"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"422","Female","White","20-21","2nd","advertising","right","glasses/contacts","20/16",NA,"40",0.180755680941319,0.220273719714454,0.130777962726921,0.211076141207442,0.232397661549162,0.0925585736626602,7.5,13,18,4,3.68181818181818,3.8,3.63333333333333,0.0484848484848484,0.166666666666667,5,4,5,4,5,5,5,4,3,2,5,4,4,4,4,5,3,3,5,5,3,1,3,4,3,3,4,2,2,4,4,4,4,4,3,2,4,4,5,5,4,3,3,4,2,2,5,2,3,2,3,4,4,4,3,4,4,3,3,4
"423","Female","White","18-19","1st","Communication Sciences and Disorders - Speech Pathology","right","none","20/16",NA,"40",0.0957427190468206,0.100060622572896,0.021696552341947,0.181663441762184,0.194952437782012,0.0461527226840089,9,14,30,11,3.04545454545455,2.46666666666667,2.91666666666667,0.128787878787879,-0.45,2,5,5,1,4,4,3,1,2,1,2,3,4,2,4,4,4,1,4,5,1,1,2,1,1,5,5,1,1,4,3,4,4,1,3,3,5,3,4,3,4,4,4,4,4,2,5,1,1,1,4,5,5,5,1,1,1,1,3,3
"424","Female","Black","20-21","2nd","Security and Risk Analysis","right","none","20/16",NA,"40",0.101241914027544,0.108003367103511,0.0143922961654168,0.165920841656395,0.162793363432447,0.0170990207614996,9.75,15,32,13,3.5,2.8,3.18333333333333,0.316666666666667,-0.383333333333333,3,4,5,1,2,3,4,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,4,3,2,3,4,2,2,3,2,2,4,3,3,3,4,3,3,4,3,2,4,3,5,4,3,2,4,2,4,5,4,5,4,3,2,2,4,5
"425","Male","White","18-19","1st","Communications: Advertising/Public Relations","right","none","20/16",NA,"40",0.0822239209942781,0.0827443277528567,0.00444807052849483,0.147856954850455,0.150582396504308,0.0113266206712949,9,14,29,9,2.5,3.46666666666667,3.05,-0.55,0.416666666666667,2,1,1,5,4,5,4,2,2,1,1,4,5,2,2,4,5,5,4,1,1,4,3,3,2,4,3,2,3,3,4,1,3,3,4,2,4,3,5,2,4,2,4,5,4,5,5,2,2,1,4,5,2,5,3,2,2,2,1,4
"426","Female","White","18-19","2nd","Forensic Science","right","glasses/contacts","20/16",NA,"40",0.097021050311929,0.0967400007217413,0.0072398610838438,0.143007443962536,0.142507793071474,0.00183992380773033,5.75,7,28,10,3.36363636363636,2.33333333333333,3.11666666666667,0.246969696969697,-0.783333333333333,2,3,3,3,4,4,5,3,2,2,4,5,5,4,5,5,3,4,3,4,3,4,3,4,2,3,2,2,2,4,3,2,4,1,2,1,4,5,2,1,2,5,5,1,4,3,4,1,4,3,4,5,3,4,2,3,1,1,2,3
"427","Female","White","20-21","2nd","Biobehavioral Health","left","none","20/16",NA,"40",0.0939983868270869,0.0965499006160459,0.00888190176971394,0.170983759975369,0.165169205659871,0.0123124475613182,3.75,10,34,15,3.31818181818182,1.66666666666667,2.76666666666667,0.551515151515152,-1.1,1,5,3,1,5,2,3,2,1,1,1,5,3,4,1,5,3,1,5,5,4,3,1,2,1,1,4,1,1,5,3,4,5,1,1,1,5,5,3,1,4,5,5,1,3,1,3,1,3,1,5,1,5,5,3,4,1,1,1,4
"428","Female","Hispanic/Latino","18-19","1st","bio major with neuroscience option","either","glasses/contacts","20/16",NA,"40",0.42190214718635,0.42190214718635,0.195656896384091,0.1686248934571,0.192294001488456,0.0670623650165829,8.75,14,21,8,4.36363636363636,3.46666666666667,3.96666666666667,0.396969696969697,-0.5,2,4,5,5,5,3,5,4,4,3,5,5,4,5,5,5,3,3,5,5,5,5,4,2,2,4,5,1,3,4,1,4,5,3,5,4,5,4,5,2,5,1,5,5,5,5,5,1,4,1,5,5,5,5,4,4,5,1,4,5
"429","Female","White","18-19","1st","immunology and disease","right","none","20/16",NA,"40",0.0850272502565189,0.0846739566789706,0.00927355711688468,0.146261733641917,0.151794667672017,0.0211753818781516,5,11,30,11,2.86363636363636,2.46666666666667,2.83333333333333,0.0303030303030303,-0.366666666666667,1,3,2,3,4,4,4,2,1,1,4,5,4,3,2,5,5,1,3,5,5,4,3,3,2,3,3,1,1,2,1,3,3,1,2,1,2,2,5,5,4,2,3,2,4,4,3,1,4,2,4,3,5,5,2,2,1,1,1,3
"430","Male","White","18-19","1st","Linguistics & Psychology double major","right","glasses/contacts","20/20",NA,"40",0.0894757045853889,0.0906896610290459,0.00520137617500907,0.155339713069118,0.156874931551006,0.00475429104155003,19.75,23,30,11,3.95454545454545,3.46666666666667,3.76666666666667,0.187878787878788,-0.3,2,4,4,5,2,4,4,4,1,4,3,3,4,3,4,5,5,5,5,4,3,3,5,3,3,5,4,3,3,4,2,4,4,4,2,1,4,5,2,5,3,4,5,5,4,5,4,3,2,2,5,5,5,5,5,5,4,3,3,5
"431","Female","Asian","18-19","1st","Premedicine","right","glasses/contacts","20/20",NA,"100",0.237162657671059,0.225534532115105,0.0837143849227585,0.175571894770947,0.182445514794875,0.040568270364862,11,16,19,2,3,2.4,2.8,0.2,-0.4,1,4,5,4,3,4,5,3,3,1,4,4,4,3,4,4,3,1,4,3,3,3,2,3,1,3,5,1,1,2,1,3,2,2,4,2,3,1,2,2,3,2,5,4,4,3,3,1,3,1,3,2,2,4,3,1,3,2,2,4
