56.3985 	EXP 	fixation: autoDraw = False
56.3985 	EXP 	grating: autoDraw = False
56.3985 	EXP 	grating: color = '[0.0822534 0.0822534 0.0822534] (rgb)'
56.3985 	EXP 	grating: size = array([3.6, 3.6])
56.3985 	EXP 	grating: ori = 0.0
56.3985 	EXP 	grating: sf = array([12., 12.])
56.3986 	EXP 	window1: recordFrameIntervals = False
56.6644 	EXP 	fixation: autoDraw = True
57.1488 	EXP 	fixation: autoDraw = False
57.4131 	EXP 	grating: autoDraw = True
58.2518 	DATA 	Keypress: escape
58.5592 	EXP 	window1: mouseVisible = True
