practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,setup_text.started,setup_text.stopped,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,ISI.started,ISI.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,theshold_estimation_trials.label,theshold_estimation_trials.startVal,theshold_estimation_trials.startValSd,theshold_estimation_trials.stim_diam_degs,theshold_estimation_trials.SF,theshold_estimation_trials.TF,theshold_estimation_trials.stepSizes,theshold_estimation_trials.maxVal,theshold_estimation_trials.minVal,theshold_estimation_trials.thisIndex,theshold_estimation_trials.thisRepN,theshold_estimation_trials.thisN,theshold_estimation_trials.direction,theshold_estimation_trials.stepSize,theshold_estimation_trials.stepType,theshold_estimation_trials.intensity,theshold_estimation_trials.response,thanksMsg.started,thanksMsg.stopped,participant,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,23,44,start,4,lin,0.7349950578035329,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,23,45,start,4,lin,0.7349950578035329,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,24,46,start,4,lin,0.7417070723614859,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,24,47,start,4,lin,0.7417070723614859,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,25,48,start,4,lin,0.7484581908988307,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,25,49,start,4,lin,0.7484581908988307,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,26,50,start,4,lin,0.7553575115919673,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,26,51,start,4,lin,0.7553575115919673,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,27,52,start,4,lin,0.7622105366538379,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,27,53,start,4,lin,0.7622105366538379,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,28,54,start,4,lin,0.768561112965124,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,28,55,start,4,lin,0.768561112965124,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,29,56,start,4,lin,0.7751172815242267,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,29,57,start,4,lin,0.7751172815242267,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,30,58,start,4,lin,0.7816240704089812,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,30,59,start,4,lin,0.7816240704089812,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,31,60,start,4,lin,0.7877375087910972,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,31,61,start,4,lin,0.7877375087910972,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,32,62,start,4,lin,0.7940180582533085,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,32,63,start,4,lin,0.7940180582533085,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,33,64,start,4,lin,0.799739322079921,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,33,65,start,4,lin,0.799739322079921,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,34,66,start,4,lin,0.8057961377075895,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,34,67,start,4,lin,0.8057961377075895,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,35,68,start,4,lin,0.8118236979741202,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
